Node,Degree,In Strength,Out Strength,Total Strength
Afghanistan,4,0.37488229881111,0.0,0.37488229881111
Albania,1,0.0,0.0,0.0
Algeria,9,0.00994047881924,0.028223679658434996,0.03816415847767499
Angola,6,0.0606976467082,0.0,0.0606976467082
Armenia,2,0.0124442420394,0.0,0.0124442420394
Australia,3,0.0,0.1312037831867,0.1312037831867
Austria,1,0.0,0.0039437555959999995,0.0039437555959999995
Azerbaijan,1,0.0053156307767,0.0,0.0053156307767
Bangladesh,5,0.4241665528548,0.0,0.4241665528548
Belgium,3,0.0,7.516843608999999e-05,7.516843608999999e-05
Benin,3,0.0145375638488,0.0,0.0145375638488
Bhutan,2,0.0011428969646999998,0.0,0.0011428969646999998
Bolivia,4,0.09688820504463,0.0,0.09688820504463
Bulgaria,1,0.0,0.0,0.0
Burkina Faso,5,0.05015264028459,0.0,0.05015264028459
Burundi,5,0.02842666146148,0.0,0.02842666146148
Cambodia,4,0.027858851684500002,0.0,0.027858851684500002
Cameroon,2,0.01913847806,0.0,0.01913847806
Canada,38,0.0,0.3287988482516801,0.3287988482516801
Cape Verde,6,0.012111311925187999,0.0,0.012111311925187999
Central African Republic,3,0.00050844935245,0.0,0.00050844935245
Chad,9,0.06098062086685,0.0,0.06098062086685
China,6,0.05827550055,0.544638391266758,0.6029138918167579
Colombia,1,0.0082128927851,0.0,0.0082128927851
Congo,2,0.0049995529906,0.0,0.0049995529906
"Congo, Democratic Republic of the",6,0.04269063273859,0.00032338552650000005,0.04301401826509
Cuba,2,0.0,0.006169195872999999,0.006169195872999999
C̫te d'Ivoire,4,0.03973801149812999,0.0,0.03973801149812999
Denmark,38,0.0,0.01653192788376,0.01653192788376
Djibouti,6,0.006940278487670001,0.0,0.006940278487670001
East Timor,1,0.0003516492071,0.0,0.0003516492071
Ecuador,1,0.08432394363,0.0,0.08432394363
Egypt,5,0.004016918853,0.024416009236575997,0.028432928089575996
El Salvador,3,0.11062173159015,0.0,0.11062173159015
Equatorial Guinea,1,0.0,0.0,0.0
Eritrea,6,0.30050114635359,0.0,0.30050114635359
Ethiopia,7,1.58396559586191,0.0,1.58396559586191
European Community,8,0.0,0.05509113804843999,0.05509113804843999
Finland,7,0.0,0.0,0.0
France,2,0.0,0.0011046481847,0.0011046481847
Gambia,3,0.01064654021572,0.0,0.01064654021572
Georgia,2,0.0069888672811,0.0,0.0069888672811
Germany,2,0.0,0.0005185506343760001,0.0005185506343760001
Ghana,4,0.1044681017054,0.0,0.1044681017054
Greece,1,0.0,4.6558044020000004e-05,4.6558044020000004e-05
Guatemala,3,0.12110094763955,0.0,0.12110094763955
Guinea,5,0.05001222457209,0.0,0.05001222457209
Guinea-Bissau,4,0.0090902987378,0.0,0.0090902987378
Haiti,6,0.25202810887403,0.0,0.25202810887403
Honduras,2,0.16405670253329,0.0,0.16405670253329
Hungary,1,0.0,5.612140552e-05,5.612140552e-05
India,3,0.18890487772504,0.015158137877,0.20406301560204
Indonesia,2,0.09266224778533999,0.0,0.09266224778533999
Iraq,2,0.02898251855276,0.0,0.02898251855276
Italy,18,0.0,0.03654131272804301,0.03654131272804301
Jamaica,1,0.01760176594803,0.0,0.01760176594803
Japan,32,0.0,0.23446492314929995,0.23446492314929995
Jordan,2,0.0012702926492,0.0,0.0012702926492
Kenya,5,0.14102769462658,0.0,0.14102769462658
"Korea, Democratic People's Republic of",8,1.018213344729308,0.0,1.018213344729308
"Korea, Republic of",1,0.0,0.46067721197000006,0.46067721197000006
Kyrgyzstan,1,0.0022993189594999997,0.0,0.0022993189594999997
Lao People's Democratic Republic,2,0.0136300840035,0.0,0.0136300840035
Lebanon,1,0.023536094796,0.0,0.023536094796
Lesotho,4,0.0091525486116,0.0,0.0091525486116
Liberia,4,0.09699973782681,0.0,0.09699973782681
Libyan Arab Jamahiriya,1,0.0,0.00197519231751,0.00197519231751
Luxembourg,3,0.0,0.0037060294009999997,0.0037060294009999997
Madagascar,3,0.06598599264443,0.0,0.06598599264443
Malawi,2,0.0461691466816,0.0,0.0461691466816
Malaysia,3,0.0,0.0,0.0
Maldives,1,0.005061515592,0.0,0.005061515592
Mali,6,0.025144946500754,0.0,0.025144946500754
Mauritania,10,0.104810383929746,0.0,0.104810383929746
Moldova,2,0.01524270842817,0.0,0.01524270842817
Mongolia,2,0.09879497142999999,0.0,0.09879497142999999
Morocco,1,0.0,0.0002613194163,0.0002613194163
Mozambique,6,0.13416636234375,0.0,0.13416636234375
Nepal,3,0.0213827771597,0.0,0.0213827771597
Netherlands,7,0.0,0.0,0.0
Nicaragua,2,0.07442306806186999,0.0,0.07442306806186999
Niger,16,0.101940692317326,0.0,0.101940692317326
Nigeria,2,0.03576783761,0.01037002732,0.04613786493
Norway,1,0.0,1.429788412e-05,1.429788412e-05
Occupied Palestinian Territory,4,0.024352510252699997,0.0,0.024352510252699997
Pakistan,3,0.0100473329706,0.0,0.0100473329706
Peru,4,0.1658705319579,0.0,0.1658705319579
Philippines,1,0.2098085709753,0.0,0.2098085709753
Qatar,1,0.0,0.0,0.0
Romania,1,0.0,0.0,0.0
Rwanda,4,0.02918198806061,0.0,0.02918198806061
Sao Tome and Principe,3,0.004392313905999999,0.0,0.004392313905999999
Saudi Arabia,9,0.0,0.0012266065072999998,0.0012266065072999998
Senegal,6,0.02834362432325,0.0,0.02834362432325
Serbia and Montenegro,1,0.0,0.0,0.0
Sierra Leone,4,0.04436237793317,0.0,0.04436237793317
Somalia,4,0.0304063067953,0.0,0.0304063067953
South Africa,2,0.0,0.00010401397713,0.00010401397713
Spain,8,0.0,0.031090750165964003,0.031090750165964003
Sri Lanka,6,0.029444994951555,2.019175689e-05,0.029465186708445
Sudan,3,1.08772017521369,0.0,1.08772017521369
Swaziland,2,0.0033126570444000003,0.0,0.0033126570444000003
Switzerland,14,0.0,0.0,0.0
Syrian Arab Republic,2,0.0,0.0022580331467,0.0022580331467
Tajikistan,3,0.12080298264943001,0.0,0.12080298264943001
Tanzania,4,0.04519879809557299,0.0,0.04519879809557299
Uganda,5,0.19355996548179,0.0,0.19355996548179
Ukraine,1,0.0,0.0,0.0
United Arab Emirates,1,0.0,0.000184315438685,0.000184315438685
United States of America,69,0.0,6.778603575526171,6.778603575526171
Yemen,5,0.0169438982601,0.0,0.0169438982601
Zambia,4,0.08740010078823998,0.0,0.08740010078823998
Zimbabwe,1,0.06125486563459,0.0,0.06125486563459
